"poi_id";"Address";"Lat";"Lon";"Sector";"Hamlet";"Company";"ConsumedGoods";"ProducedGoods";"Weight";"MinSize";"MaxSize";"Size";"Source"
"29";"Poppenbeck 16A, 48329 Havixbeck";"51.975785";"7.386299";"Einzelhandel";"Bauerschaft Poppenbeck";"Bauerschaft Poppenbeck - 360Plus Fotographie";"[]";"[]";"tiny";"tiny";"small";"tiny";"custom"
"30";"Poppenbeck 65, 48329 Havixbeck";"51.976287";"7.388015";"Einzelhandel";"Bauerschaft Poppenbeck";"Bauerschaft Poppenbeck - Hülsken Pferdecoaching";"[]";"[]";"tiny";"tiny";"small";"tiny";"custom"
"31";"Poppenbeck 11, 48329 Havixbeck";"51.977739";"7.387715";"Steinmetz";"Bauerschaft Poppenbeck";"Bauerschaft Poppenbeck - Steinmetz Wlhelm Fark";"[8]";"[13]";"huge";"medium";"big";"medium";"custom"
"32";"Poppenbeck 1, 48329 Havixbeck";"51.977063";"7.396959";"Landwirtschaft";"Bauerschaft Poppenbeck";"Bauerschaft Poppenbeck - Landwirtschaftsbetrieb Hof Richter";"[]";"[15, 22, 23]";"tiny";"tiny";"tiny";"tiny";"custom"
"33";"Natrup 4, 48329 Havixbeck";"51.954876";"7.430524";"Landwirtschaft";"Bauerschaft Natrup";"Bauerschaft Natrup - Franz Himker Landwirtschaftsbetrieb";"[]";"[15, 22, 23]";"tiny";"tiny";"tiny";"tiny";"custom"
"34";"Tilbeck 2, 48329 Havixbeck";"51.943515";"7.445777";"Manufaktur";"Bauerschaft Tilbeck";"Bauerschaft Tilbeck - Alexianer Stift Tilbeck";"[]";"[14]";"small";"small";"small";"small";"custom"
"35";"Walingen 42, 48329 Havixbeck";"51.995891";"7.455144";"Landwirtschaft";"Bauerschaft Walingen";"Bauerschaft Walingen - Imkerei Gerdes";"[]";"[5]";"tiny";"tiny";"tiny";"tiny";"custom"
"36";"Roxeler Str. 17, 48329 Havixbeck";"51.996366";"7.465876";"Landwirtschaft";"";"ADFC Havixbeck";"[]";"[]";"tiny";"none";"small";"none";"custom"
"37";"Altenberger Str. 18, 48329 Havixbeck";"51.9788520583412";"7.41516375601726";"Medizin";"";"Marienstift Droste zu Hülsoff";"[6, 7]";"[]";"medium";"big";"big";"big";"custom"
"38";"Auf dem Blick 25, 48329 Havixbeck";"51.975997707286";"7.40806501814951";"Medizin";"";"Haus Thomas, Stift Tilbeck";"[6, 7]";"[]";"medium";"big";"big";"big";"custom"
"39";"Hauptstraße 11, 48329 Havixbeck";"51.9781233051473";"7.40717767591604";"Medizin";"";"Haus Barbara, Stift Tilbeck";"[6, 7]";"[]";"medium";"big";"big";"big";"custom"
"40";"Südlohnweg 1-3, 48161 Münster";"51.9826999067774";"7.56313249496813";"Medizin";"";"Altenheim St. Elisabeth";"[6, 7]";"[]";"medium";"big";"big";"big";"custom"
"41";"Stevern 58, 48301 Nottuln";"51.9420219734889";"7.40894106013894";"Medizin";"";"Seniorenheim Haus Stevertal";"[6, 7]";"[]";"medium";"big";"big";"big";"custom"
"42";"Poppenbeck 28, 48329 Havixbeck";"51.9914279605328";"7.39330390671526";"Gastronomie";"";"Historisches Brauhaus Klute";"[0, 1, 2, 3, 5, 15, 22, 23]";"[]";"medium";"medium";"medium";"medium";"custom"
"43";"Hauptstraße 56, 48329 Havixbeck";"51.9777898706698";"7.41235832023409";"Gastronomie";"";"Wanjas";"[0, 1, 2, 3, 5, 15, 22, 23]";"[]";"medium";"medium";"medium";"medium";"custom"
"44";"Hauptstraße 67, 48329 Havixbeck";"51.9769439608995";"7.4130449657663";"Gastronomie";"";"Yosara";"[0, 1, 2, 3, 5, 15, 22, 23]";"[]";"medium";"medium";"medium";"medium";"custom"
"45";"Herkentrup 24, 48329 Havixbeck";"51.9704696100224";"7.46623789579288";"Gastronomie";"";"Landgasthaus Overwaul";"[0, 1, 2, 3, 5, 15, 22, 23]";"[]";"medium";"medium";"medium";"medium";"custom"
"46";"Dörholt 14b, 48727 Billerbeck";"51.966448479159";"7.33299086409119";"Gastronomie";"";"La Baita";"[0, 1, 3, 5, 15]";"[]";"medium";"medium";"medium";"medium";"custom"
"47";"Masbeck 30, 48329 Havixbeck";"51.9664900756604";"7.42682585389185";"Gastronomie";"";"Haus Füsting";"[0, 1, 2, 3, 4, 5, 15, 22, 23]";"[]";"medium";"medium";"medium";"medium";"custom"
"48";"Stevern 36, 48301 Nottuln";"51.9427513051285";"7.38364033015002";"Gastronomie";"";"Gasthaus Stevertal";"[0, 1, 2, 3, 4, 5, 15, 22, 23]";"[]";"medium";"medium";"medium";"medium";"custom"
"49";"Bestensee, Platz 2, 48329 Havixbeck";"51.9764660233234";"7.41213455459769";"Gastronomie";"";"Apollon";"[0, 1, 2, 3, 5, 15, 22, 23]";"[]";"medium";"medium";"medium";"medium";"custom"
"50";"Altenberger Str. 14, 48329 Havixbeck";"51.9768455978145";"7.41275076444476";"Gastronomie";"";"Gasthaus Kemper";"[0, 1, 2, 3, 4, 5, 15, 22, 23]";"[]";"medium";"medium";"medium";"medium";"custom"
"51";"Poppenbeck 43, 48329 Havixbeck";"51.9874173717893";"7.39898948220264";"Einzelhandel";"";"Lüfls Landlädchen";"[0, 1, 3, 5, 14, 15]";"[]";"small";"big";"big";"big";"custom"
"52";"Hauptstraße, 48329 Havixbeck";"51.9770032338275";"7.41478232783544";"Einzelhandel";"";"Wochenmarkt Havixbeck";"[0, 1, 3, 5, 14, 15]";"[15, 22, 23]";"small";"big";"big";"big";"custom"
"53";"Nienberger Kirchplatz 2-4, 48161 Münster";"51.9984248";"7.5592424";"Gastronomie";"";"Herz Dame";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium";"osm"
"54";"";"52.0000352";"7.5595829";"Gastronomie";"";"Gastronomy";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium";"osm"
"55";"Lasbeck 43, 48329 Havixbeck";"51.9627622";"7.386906";"Gastronomie";"";"Café Pannkokenhus Teitekerl";"[0, 2]";"[]";"medium";"medium";"medium";"medium";"osm"
"56";"Heller 55, 48301 Nottuln";"51.9161175";"7.3854413";"Gastronomie";"";"Jägerhof Sendes";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium";"osm"
"57";"";"51.9931849";"7.4820104";"Gastronomie";"";"Egons Kotten";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium";"osm"
"58";"Dieckmannstraße 4-10, 48161 Münster";"51.9729899";"7.5648454";"Gastronomie";"";"Loco";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium";"osm"
"59";"Dörholt 14, 48727 Billerbeck";"51.9640779";"7.3327411";"Gastronomie";"";"La Baita";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium";"osm"
"60";"Tilbeck 2, 48329 Havixbeck";"51.9418112";"7.4415193";"Gastronomie";"";"Tilbeck - Tilbecks Café";"[0, 2]";"[]";"medium";"medium";"medium";"medium";"osm"
"61";"Hauptstraße 57, 48329 Havixbeck";"51.9753761";"7.412822";"Gastronomie";"";"San Remo";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium";"osm"
"62";"Hauptstraße 75, 48329 Havixbeck";"51.9743645";"7.4133904";"Gastronomie";"";"Kral";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium";"osm"
"63";"Roxeler Straße 579, 48161 Münster";"51.954486";"7.5344559";"Gastronomie";"";"Hotel Brintrup";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium";"osm"
"64";"Bahnhofstraße 16, 48308 Senden";"51.9163018";"7.4789996";"Gastronomie";"";"Bösensell - Toscana";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium";"osm"
"65";"Annette-von-Droste-Hülshoff-Straße 4, 48161 Münster";"51.9544647";"7.5326604";"Gastronomie";"";"Speiselokal Med";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium";"osm"
"66";"Havixbecker Straße 9, 48161 Münster";"51.9553128";"7.5338954";"Gastronomie";"";"Roxeler Gyros & Pizza";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium";"osm"
"67";"";"51.9981369";"7.5581499";"Gastronomie";"";"Zerda Grill";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium";"osm"
"68";"Dülmener Straße 33, 48163 Münster";"51.9247509";"7.5220907";"Gastronomie";"";"Albachtener Grill";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium";"osm"
"69";"";"51.9772397";"7.4101799";"Gastronomie";"";"Palermo";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium";"osm"
"70";"Josef-Heydt-Straße 43, 48329 Havixbeck";"51.9736356";"7.4142654";"Gastronomie";"";"Havixbecker Grill";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium";"osm"
"71";"Baumberg 4, 48301 Nottuln";"51.9601265";"7.3658377";"Gastronomie";"";"18|97 Café am Longinusturm";"[0, 2]";"[]";"medium";"medium";"medium";"medium";"osm"
"72";"";"52.0252846";"7.4880205";"Gastronomie";"";"Garten Cafe";"[0, 2]";"[]";"medium";"medium";"medium";"medium";"osm"
"73";"";"51.9346695";"7.4157145";"Gastronomie";"";"Italia";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium";"osm"
"74";"";"51.9937148";"7.569674";"Gastronomie";"";"Papa George Nienberge";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium";"osm"
"75";"Haus Uhlenkotten 28, 48159 Münster";"51.9914298";"7.5689584";"Gastronomie";"";"Kochmütze";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium";"osm"
"76";"Am Dorn 11, 48308 Senden";"51.9038451";"7.4879908";"Gastronomie";"";"Burger King";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium";"osm"
"77";"";"52.0161436";"7.4622743";"Gastronomie";"";"Geuker Wiedemann";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium";"osm"
"78";"";"51.9526638";"7.5335818";"Gastronomie";"";"Trattoria La Bruschetta";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium";"osm"
"79";"";"51.9395695";"7.444249";"Gastronomie";"";"Das Lauschig";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium";"osm"
"80";"";"51.9716577";"7.5038813";"Gastronomie";"";"Burg Hülshoff";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium";"osm"
"81";"";"51.9037295";"7.4891648";"Gastronomie";"";"Restaurant im Autohof";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium";"osm"
"82";"Altenberger Straße 9, 48161 Münster";"51.9978704";"7.562085";"Gastronomie";"";"Nienberger Grill";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium";"osm"
"83";"Altenberger Straße 22, 48161 Münster";"51.9988956";"7.5606473";"Gastronomie";"";"Franz Küche";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium";"osm"
"84";"";"51.9787649";"7.5445597";"Gastronomie";"";"Bauwagen auf der Obstwiese";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium";"osm"
"85";"Toppheideweg 15, 48161 Münster";"51.9749617";"7.5699128";"Gastronomie";"";"KEBAB BROS";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium";"osm"
"86";"Zur Aabrücke 2, 48329 Hohenholte";"51.9969384";"7.4625458";"Gastronomie";"";"Speicher 3";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium";"osm"
"87";"48727 Billerbeck";"52.0120173";"7.3404064";"Gastronomie";"";"Uhlenhook";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium";"osm"
"88";"48329 Havixbeck";"51.9684497";"7.467313";"Gastronomie";"";"Overwaul";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium";"osm"
"89";"Poppenbeck 28, 48329 Havixbeck";"51.9889908";"7.393656";"Gastronomie";"";"Cafe Klute";"[0, 2]";"[]";"medium";"medium";"medium";"medium";"osm"
"90";"Temming 34, 48727 Billerbeck";"52.0129872";"7.4110051";"Gastronomie";"";"Thumanns Mühle";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium";"osm"
"91";"Twerenfeldweg 6, 48161 Münster";"51.9826853";"7.5497422";"Gastronomie";"";"Nienberge - Haus Hüerländer";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium";"osm"
"92";"Roxeler Straße 522, 48161 Münster";"51.9528787";"7.5534418";"Gastronomie";"";"Roxel - Restaurant Ackermann";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium";"osm"
"93";"Havixbecker Straße 6-8, 48308 Senden";"51.9178453";"7.4772779";"Gastronomie";"";"Bösensell - Haus Wessing";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium";"osm"
"94";"Havixbecker Straße 12, 48308 Senden";"51.9179204";"7.4765054";"Gastronomie";"";"Bösensell - Gasthaus Zur Krone";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium";"osm"
"95";"Roxeler Straße 5, 48301 Nottuln";"51.9360006";"7.4140144";"Gastronomie";"";"Zur Alten Post";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium";"osm"
"96";"Altenberger Straße 23, 48161 Münster";"51.9991494";"7.5594957";"Gastronomie";"";"Antica Italia";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium";"osm"
"97";"Gennerich 9, 48329 Havixbeck";"51.9793114";"7.4073436";"Gastronomie";"";"Cafe im Sandsteinmuseum";"[0, 2]";"[]";"medium";"medium";"medium";"medium";"osm"
"98";"Blickallee 52, 48329 Havixbeck";"51.9745377";"7.4124463";"Gastronomie";"";"Sandstein";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium";"osm"
"99";"Marienplatz 1, 48329 Havixbeck";"51.942338";"7.4431097";"Gastronomie";"";"Genuss Punkt";"[0, 1, 2, 3, 4, 5]";"[]";"medium";"medium";"medium";"medium";"osm"
"100";"Blickallee 40, 48329 Havixbeck";"51.9745345";"7.4107132";"Lebensmittelhandel";"";"Aldi";"[0, 1, 2, 3, 4, 5, 15]";"[1]";"medium";"medium";"big";"medium";"osm"
"101";"Blickallee, 48329 Havixbeck";"51.9740305";"7.4110125";"Lebensmittelhandel";"";"Edeka";"[0, 1, 2, 3, 4, 5, 15]";"[1]";"medium";"medium";"big";"medium";"osm"
"102";"Rüschhausweg 149 - 151, 48161 Münster";"51.9732268";"7.5647582";"Lebensmittelhandel";"";"Rewe Kaufpark";"[0, 1, 2, 3, 4, 5, 15]";"[1]";"medium";"medium";"big";"medium";"osm"
"103";"Dülmener Straße 45, 48163 Münster";"51.9245357";"7.5199878";"Lebensmittelhandel";"";"EDEKA Krause Albachten";"[0, 1, 2, 3, 4, 5, 15]";"[1]";"medium";"medium";"big";"medium";"osm"
"104";"Auf dem Stift 26, 48329 Havixbeck";"51.9967107";"7.4618456";"Lebensmittelhandel";"";"Hohenholte - Vieth";"[0, 1, 2, 3, 4, 5, 15]";"[1]";"medium";"medium";"big";"medium";"osm"
"105";"Toppheideweg 15, 48161 Münster";"51.9749183";"7.5698351";"Lebensmittelhandel";"";"Inter Markt";"[0, 1, 2, 3, 4, 5, 15]";"[1]";"medium";"medium";"big";"medium";"osm"
"106";"Dülmener Straße 33, 48163 Münster";"51.9247183";"7.5223884";"Lebensmittelhandel";"";"Jentschura";"[0, 1, 2, 3, 4, 5, 15]";"[1]";"medium";"medium";"big";"medium";"osm"
"107";"Schützenstraße 85, 48329 Havixbeck";"51.9777407";"7.4283958";"Lebensmittelhandel";"";"Netto Marken-Discount";"[0, 1, 2, 3, 4, 5, 15]";"[1]";"medium";"medium";"big";"medium";"osm"
"108";"Nottulner Landweg 104, 48161 Münster";"51.9446122";"7.5275404";"Lebensmittelhandel";"";"Rewe";"[0, 1, 2, 3, 4, 5, 15]";"[1]";"medium";"medium";"big";"medium";"osm"
"109";"Bahnhofstraße 59, 48308 Senden";"51.9128627";"7.4834701";"Lebensmittelhandel";"";"Bösensell - nah und gut";"[0, 1, 2, 3, 4, 5, 15]";"[1]";"medium";"medium";"big";"medium";"osm"
"110";"Roxeler Straße 10, 48301 Nottuln";"51.9357454";"7.4125409";"Lebensmittelhandel";"";"Dettener Dorfladen";"[0, 1, 2, 3, 4, 5, 15]";"[1]";"medium";"medium";"big";"medium";"osm"
"111";"An der Feuerwache 35, 48329 Havixbeck";"51.9774474";"7.4052242";"Lebensmittelhandel";"";"Lidl";"[0, 1, 2, 3, 4, 5, 15]";"[1]";"medium";"medium";"big";"medium";"osm"
"112";"Sebastianstraße 9, 48161 Münster";"51.9979412";"7.5585086";"Lebensmittelhandel";"";"Schrunz";"[]";"[1, 2]";"small";"small";"medium";"small";"osm"
"113";"Blickallee 40, 48329 Havixbeck";"51.9741857";"7.411356";"Lebensmittelhandel";"";"Essmann";"[]";"[2]";"small";"small";"medium";"small";"osm"
"114";"Roxeler Straße 571, 48161 Münster";"51.9542912";"7.5354553";"Lebensmittelhandel";"";"Backhaus Jankord";"[]";"[2]";"small";"small";"medium";"small";"osm"
"115";"Von-Schonebeck-Ring 104, 48161 Münster";"51.9942174";"7.5476666";"Lebensmittelhandel";"";"Hosselmann";"[]";"[1, 2]";"small";"small";"medium";"small";"osm"
"116";"";"51.9775909";"7.4282796";"Lebensmittelhandel";"";"Fröndhoff";"[]";"[2]";"small";"small";"medium";"small";"osm"
"117";"";"51.9970602";"7.5559992";"Lebensmittelhandel";"";"Essmann's Backstube";"[]";"[2]";"small";"small";"medium";"small";"osm"
"118";"Sebastianstraße 2, 48161";"51.9987654";"7.5601075";"Lebensmittelhandel";"";"Landbäckerei Elshoff";"[]";"[2]";"small";"small";"medium";"small";"osm"
"119";"Siemensstraße 43, 48341 Altenberge";"52.0371465";"7.4531868";"Lebensmittelhandel";"";"Ursprung Westfalen";"[]";"[1, 2]";"small";"small";"medium";"small";"osm"
"120";"";"51.9245075";"7.5201443";"Lebensmittelhandel";"";"Kisfeld";"[]";"[1, 2]";"small";"small";"medium";"small";"osm"
"121";"";"51.9630506";"7.4166337";"Lebensmittelhandel";"";"Hof Arnina";"[0, 1, 2, 3, 4, 5, 15]";"[1]";"medium";"medium";"big";"medium";"osm"
"122";"";"52.0106943";"7.5267245";"Lebensmittelhandel";"";"Food Market";"[0, 1, 2, 3, 4, 5, 15]";"[1]";"medium";"medium";"big";"medium";"osm"
"123";"Rüschhausweg 149 - 151, 48161 Münster";"51.973131";"7.5645194";"Lebensmittelhandel";"";"REWE Getränkemarkt";"[0, 3, 4]";"[0, 3, 4]";"medium";"medium";"big";"medium";"osm"
"124";"Könemannstraße 11, 48161 Münster";"51.9527167";"7.5331961";"Lebensmittelhandel";"";"Gut Getränke";"[0, 3, 4]";"[0, 3, 4]";"medium";"medium";"big";"medium";"osm"
"125";"Schützenstraße 81, 48329 Havixbeck";"51.9772925";"7.4274461";"Lebensmittelhandel";"";"Trink & Spare";"[0, 3, 4]";"[0, 3, 4]";"medium";"medium";"big";"medium";"osm"
"126";"Espelstraße 14b, 48308 Senden";"51.9166232";"7.4761788";"Medizin";"";"Bösensell - Dr. Thomas Benner";"[]";"[]";"small";"small";"medium";"small";"osm"
"127";"Toppheideweg 9, 48161 Münster";"51.9748097";"7.5705093";"Medizin";"";"Dr. Jürgen Grünendahl";"[]";"[]";"small";"small";"medium";"small";"osm"
"128";"";"51.9416375";"7.442422";"Medizin";"";"Arztpraxis Dr. Hoppe";"[]";"[]";"small";"small";"medium";"small";"osm"
"129";"";"51.9737963";"7.4174487";"Medizin";"";"Dr. med. Felicitas Banck";"[]";"[]";"small";"small";"medium";"small";"osm"
"130";"";"51.966437";"7.5641611";"Medizin";"";"Healthcare Provider";"[]";"[]";"small";"small";"medium";"small";"osm"
"131";"";"51.9736424";"7.4149039";"Medizin";"";"Busch, Barbara Winter & Birgit Wiewel-Terborg, Roggendorf, Ameling";"[]";"[]";"small";"small";"medium";"small";"osm"
"132";"";"51.9730946";"7.5640443";"Medizin";"";"HNO-Arzt Enver Camuz";"[]";"[]";"small";"small";"medium";"small";"osm"
"133";"";"51.9743503";"7.412753";"Medizin";"";"Dr. Göhler, Schrowange, Cosfeld, Dr. Wohlmeiner";"[]";"[]";"small";"small";"medium";"small";"osm"
"134";"Pantaleonstraße 1, 48161 Münster";"51.9543747";"7.5327868";"Medizin";"";"Orthopädische Praxis Roxel";"[]";"[]";"small";"small";"medium";"small";"osm"
"135";"";"51.9537304";"7.5334102";"Medizin";"";"Dr. med. Heinz Kellinghaus";"[]";"[]";"small";"small";"medium";"small";"osm"
"136";"";"51.9547204";"7.5378608";"Medizin";"";"Dr. med. H. Marguc";"[]";"[]";"small";"small";"medium";"small";"osm"
"137";"";"51.9544779";"7.5314597";"Medizin";"";"Praxisgemeinschaft Roxel";"[]";"[]";"small";"small";"medium";"small";"osm"
"138";"";"51.9549344";"7.5337903";"Medizin";"";"Dr. med. Marianne Feldmeier";"[]";"[]";"small";"small";"medium";"small";"osm"
"139";"";"51.9523592";"7.5347562";"Medizin";"";"Dr. med. G. Eggert";"[]";"[]";"small";"small";"medium";"small";"osm"
